Date,Restaurant_Food,Actual_Units_Sold,Predicted_Units_Sold
2023-01-01,R3_Kheer (small bowl),76,130.4839
2023-01-02,R3_Kheer (small bowl),71,78.90504
2023-01-03,R3_Kheer (small bowl),60,76.12472
2023-01-04,R3_Kheer (small bowl),74,88.41146
2023-01-05,R3_Kheer (small bowl),58,85.08129
2023-01-06,R3_Kheer (small bowl),76,79.452644
2023-01-07,R3_Kheer (small bowl),64,91.48553
2023-01-08,R3_Kheer (small bowl),86,81.65278
2023-01-09,R3_Kheer (small bowl),60,75.92342
2023-01-10,R3_Kheer (small bowl),51,74.37713
2023-01-11,R3_Kheer (small bowl),59,66.12081
2023-01-12,R3_Kheer (small bowl),74,69.25373
2023-01-13,R3_Kheer (small bowl),92,101.521675
2023-01-14,R3_Kheer (small bowl),87,115.339195
2023-01-15,R3_Kheer (small bowl),78,79.20625
2023-01-16,R3_Kheer (small bowl),72,84.01619
2023-01-17,R3_Kheer (small bowl),73,93.34043
2023-01-18,R3_Kheer (small bowl),65,73.111664
2023-01-19,R3_Kheer (small bowl),57,65.33554
2023-01-20,R3_Kheer (small bowl),68,59.55315
2023-01-21,R3_Kheer (small bowl),60,78.56272
2023-01-22,R3_Kheer (small bowl),63,77.298645
2023-01-23,R3_Kheer (small bowl),48,65.86346
2023-01-24,R3_Kheer (small bowl),52,64.25385
2023-01-25,R3_Kheer (small bowl),61,61.681404
2023-01-26,R3_Kheer (small bowl),60,64.746765
2023-01-27,R3_Kheer (small bowl),68,64.00134
2023-01-28,R3_Kheer (small bowl),67,72.630745
2023-01-29,R3_Kheer (small bowl),62,72.14745
2023-01-30,R3_Kheer (small bowl),53,65.77594
2023-01-31,R3_Kheer (small bowl),45,69.146034
2023-02-01,R3_Kheer (small bowl),53,65.07367
2023-02-02,R3_Kheer (small bowl),65,67.29673
2023-02-03,R3_Kheer (small bowl),83,73.895615
2023-02-04,R3_Kheer (small bowl),65,71.27337
2023-02-05,R3_Kheer (small bowl),62,70.539
2023-02-06,R3_Kheer (small bowl),49,64.72752
2023-02-07,R3_Kheer (small bowl),61,76.00024
2023-02-08,R3_Kheer (small bowl),67,76.12132
2023-02-09,R3_Kheer (small bowl),56,74.081696
2023-02-10,R3_Kheer (small bowl),53,68.447174
2023-02-11,R3_Kheer (small bowl),65,65.95391
2023-02-12,R3_Kheer (small bowl),50,72.513
2023-02-13,R3_Kheer (small bowl),71,73.369934
2023-02-14,R3_Kheer (small bowl),71,91.85182
2023-02-15,R3_Kheer (small bowl),56,66.64803
2023-02-16,R3_Kheer (small bowl),70,77.18056
2023-02-17,R3_Kheer (small bowl),104,99.73914
2023-02-18,R3_Kheer (small bowl),72,99.19444
2023-02-19,R3_Kheer (small bowl),68,86.25293
2023-02-20,R3_Kheer (small bowl),66,78.31539
2023-02-21,R3_Kheer (small bowl),58,75.97329
2023-02-22,R3_Kheer (small bowl),74,105.24923
2023-02-23,R3_Kheer (small bowl),71,87.244415
2023-02-24,R3_Kheer (small bowl),54,72.835396
2023-02-25,R3_Kheer (small bowl),67,73.933334
2023-02-26,R3_Kheer (small bowl),76,83.1071
2023-02-27,R3_Kheer (small bowl),125,116.43607
2023-02-28,R3_Kheer (small bowl),77,74.57591
2023-03-01,R3_Kheer (small bowl),63,70.481255
2023-03-02,R3_Kheer (small bowl),65,79.23443
2023-03-03,R3_Kheer (small bowl),56,67.22127
2023-03-04,R3_Kheer (small bowl),67,69.86602
2023-03-05,R3_Kheer (small bowl),63,72.45523
2023-03-06,R3_Kheer (small bowl),64,62.046814
2023-03-07,R3_Kheer (small bowl),76,65.92212
2023-03-08,R3_Kheer (small bowl),62,70.01895
2023-03-09,R3_Kheer (small bowl),69,64.890205
2023-03-10,R3_Kheer (small bowl),59,72.79114
2023-03-11,R3_Kheer (small bowl),75,77.253105
2023-03-12,R3_Kheer (small bowl),69,73.52278
2023-03-13,R3_Kheer (small bowl),100,97.04286
2023-03-14,R3_Kheer (small bowl),57,69.87816
2023-03-15,R3_Kheer (small bowl),62,78.94967
2023-03-16,R3_Kheer (small bowl),53,64.86982
2023-03-17,R3_Kheer (small bowl),63,71.71512
2023-03-18,R3_Kheer (small bowl),78,69.032234
2023-03-19,R3_Kheer (small bowl),86,89.86959
2023-03-20,R3_Kheer (small bowl),80,82.03535
2023-03-21,R3_Kheer (small bowl),78,71.89894
2023-03-22,R3_Kheer (small bowl),63,80.29803
2023-03-23,R3_Kheer (small bowl),88,77.14662
2023-03-24,R3_Kheer (small bowl),63,74.48852
2023-03-25,R3_Kheer (small bowl),62,83.64439
2023-03-26,R3_Kheer (small bowl),78,103.205124
2023-03-27,R3_Kheer (small bowl),66,75.783585
2023-03-28,R3_Kheer (small bowl),79,73.68375
2023-03-29,R3_Kheer (small bowl),56,76.59037
2023-03-30,R3_Kheer (small bowl),72,65.17629
2023-03-31,R3_Kheer (small bowl),56,72.06581
2023-04-01,R3_Kheer (small bowl),76,77.52638
2023-04-02,R3_Kheer (small bowl),71,76.1494
2023-04-03,R3_Kheer (small bowl),57,67.19692
2023-04-04,R3_Kheer (small bowl),70,72.618385
2023-04-05,R3_Kheer (small bowl),63,72.775795
2023-04-06,R3_Kheer (small bowl),59,64.42559
2023-04-07,R3_Kheer (small bowl),50,66.07272
2023-04-08,R3_Kheer (small bowl),58,70.9589
2023-04-09,R3_Kheer (small bowl),66,72.81177
2023-04-10,R3_Kheer (small bowl),63,64.52009
2023-04-11,R3_Kheer (small bowl),57,63.822548
2023-04-12,R3_Kheer (small bowl),97,83.86329
2023-04-13,R3_Kheer (small bowl),49,71.91952
2023-04-14,R3_Kheer (small bowl),65,62.944595
2023-04-15,R3_Kheer (small bowl),62,75.48107
2023-04-16,R3_Kheer (small bowl),62,77.751625
2023-04-17,R3_Kheer (small bowl),58,68.14877
2023-04-18,R3_Kheer (small bowl),65,76.876175
2023-04-19,R3_Kheer (small bowl),53,67.71608
2023-04-20,R3_Kheer (small bowl),63,61.554817
2023-04-21,R3_Kheer (small bowl),78,69.80877
2023-04-22,R3_Kheer (small bowl),87,108.45447
2023-04-23,R3_Kheer (small bowl),99,111.32399
2023-04-24,R3_Kheer (small bowl),76,76.44976
2023-04-25,R3_Kheer (small bowl),99,104.590324
2023-04-26,R3_Kheer (small bowl),59,79.02542
2023-04-27,R3_Kheer (small bowl),55,71.17004
2023-04-28,R3_Kheer (small bowl),63,67.46622
2023-04-29,R3_Kheer (small bowl),80,72.08407
2023-04-30,R3_Kheer (small bowl),102,89.81808
2023-05-01,R3_Kheer (small bowl),64,67.88313
2023-05-02,R3_Kheer (small bowl),63,63.417736
2023-05-03,R3_Kheer (small bowl),58,71.183136
2023-05-04,R3_Kheer (small bowl),62,70.135
2023-05-05,R3_Kheer (small bowl),72,69.652405
2023-05-06,R3_Kheer (small bowl),81,93.54746
2023-05-07,R3_Kheer (small bowl),72,75.66283
2023-05-08,R3_Kheer (small bowl),64,68.20644
2023-05-09,R3_Kheer (small bowl),54,66.09482
2023-05-10,R3_Kheer (small bowl),70,67.458244
2023-05-11,R3_Kheer (small bowl),58,67.298676
2023-05-12,R3_Kheer (small bowl),72,73.590904
2023-05-13,R3_Kheer (small bowl),89,77.73992
2023-05-14,R3_Kheer (small bowl),77,76.99384
2023-05-15,R3_Kheer (small bowl),75,68.61252
2023-05-16,R3_Kheer (small bowl),76,80.78799
2023-05-17,R3_Kheer (small bowl),71,66.41493
2023-05-18,R3_Kheer (small bowl),62,68.15714
2023-05-19,R3_Kheer (small bowl),63,67.85368
2023-05-20,R3_Kheer (small bowl),73,68.82587
2023-05-21,R3_Kheer (small bowl),104,109.58453
2023-05-22,R3_Kheer (small bowl),67,70.376045
2023-05-23,R3_Kheer (small bowl),85,91.63796
2023-05-24,R3_Kheer (small bowl),77,78.46098
2023-05-25,R3_Kheer (small bowl),79,78.46791
2023-05-26,R3_Kheer (small bowl),65,72.40728
2023-05-27,R3_Kheer (small bowl),84,83.98678
2023-05-28,R3_Kheer (small bowl),71,83.18032
2023-05-29,R3_Kheer (small bowl),53,72.35908
2023-05-30,R3_Kheer (small bowl),70,76.24515
2023-05-31,R3_Kheer (small bowl),52,69.23546
2023-06-01,R3_Kheer (small bowl),79,58.05581
2023-06-02,R3_Kheer (small bowl),64,70.567
2023-06-03,R3_Kheer (small bowl),88,70.65995
2023-06-04,R3_Kheer (small bowl),71,71.88937
2023-06-05,R3_Kheer (small bowl),59,64.17095
2023-06-06,R3_Kheer (small bowl),73,73.14558
2023-06-07,R3_Kheer (small bowl),81,72.119576
2023-06-08,R3_Kheer (small bowl),65,84.150665
2023-06-09,R3_Kheer (small bowl),56,64.0055
2023-06-10,R3_Kheer (small bowl),99,92.18707
2023-06-11,R3_Kheer (small bowl),88,88.272385
